type_debris,waste_quantity,pickup_name,pickup_address,pickup_city,pickup_state,pickup_zip,pickup_lat,pickup_lng,generator_name,generator_address,generator_city,generator_state,generator_zip,transporter_name,receiving_name,receiving_address,receiving_city,receiving_state,receiving_zip,receiving_lat,receiving_lng
Contaminated Fill,12 Cubic Yards,Sisters of Saint Joseph Convent,1725 Brentwood Road,Brentwood,NY,11717,40.77358879,-73.24175059,Sisters of Saint Joseph Convent,1725 Brentwood Road,Brentwood,NY,11717,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Sand Mud,4.2 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Sand Mud,12.89 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Sand Mud,12.88 Tons,DOS SI Blue West Building,600 West Service Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
Demolition Waste,Unknown,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Sand Mud,11.7 Tons,DOS SI Blue West Building,600 West Serovice Road,Staten Island,NY,10314,40.5856714,-74.19314981,NYC DOC Plant 2,600 West Serovice Road,Staten Island,NY,10314,AB Oil,Faztec Industries,200 Bloomfield Ave,Staten Island,NY,10314,40.61277996,-74.18611821
"General Fill, Residue, Mud/Silt",12 Cubic Yards,SIMS METAL MANAGEMENT,3027 Greenpoint Ave,Long Island City,NY,11101,40.73737917,-73.94423263,SIMS METAL,3027 Greenpoint Ave,Long Island City,NY,11101,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
"General Fill, Residue, Mud/Silt",12 Cubic Yards,SIMS METAL MANAGEMENT,3027 Greenpoint Ave,Long Island City,NY,11101,40.73737917,-73.94423263,SIMS METAL,3027 Greenpoint Ave,Long Island City,NY,11101,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,6 Tons,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
,10 Tons,Asplundh Yard,400 Charlotte Ave,Hicksville,NY,11801,40.76129013,-73.54951434,Asplundh Construstion Corp.,400 Charlotte Ave,Hicksville,NY,11801,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,7 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,7 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,4 Tons,Asplundh Yard,294 Old Northport Rd,Kings Park,NY,11754,40.86997063,-73.26886954,Asplundh Construstion Corp.,294 Old Northport Rd,Kings Park,NY,11754,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,6 Tons,Asplundh Yard,93 Sills Road,Yaphank,NY,11980,40.81950867,-72.94540839,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Construction Waste,6 Tons,Asplundh Yard,Conklin St & Broadhollow Rd,Farmigdale,NY,11735,40.73850107,-73.42329816,Asplundh Construstion Corp.,93 Sills Road,Yaphank,NY,11980,AB Oil,110 Sand Company,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Demolition Waste,15 Cubic Yards,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,40.74376831,-73.30812875,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,AB Oil,Watral Bros.,45 S 4th St,Bay Shore,NY,11706,40.76381393,-73.29439761
,15 Cubic Yards,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,40.74376831,-73.30812875,Ahern Rentals,45 Brook Ave,Deer Park,NY,11729,AB Oil,Watral Bros.,45 S 4th St,Bay Shore,NY,11706,40.76381393,-73.29439761
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,40.75410527,-73.00863276,Patchogue Fire District,25 Park Street,Patchogue,NY,11772,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,15 Cubic Yards,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,40.62302754,-73.74098061,Crown Petroleum - Truck Roll Over,NY-878 & Burnside Ave,Inwood,NY,11096,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Contaminated Fill,Unknown,Residence,108 Candy Lane,Syosset,NY,11791,40.80829039,-73.50288001,Residence,108 Candy Lane,Syosset,NY,11791,AB Oil,"Posillico Materials, LLC",1610 New Highway,Farmingdale,NY,11735,40.743227,-73.4139
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,3 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,12 Tons,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,34 Tons,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Melville,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,15 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,13 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Melville,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,4 Tons,Unknown,128-20 14th Avenue,College Point,NY,11356,40.7852854,-73.8395631,Supplies by David Inc.,128-20 14th Avenue,College Point,NY,11356,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,128-20 14th Avenue,College Point,NY,11356,40.7852854,-73.8395631,Supplies by David Inc.,128-20 14th Avenue,College Point,NY,11356,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,6 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,Brooklyn,NY,11201,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,8.53 Tons,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,US Tennis Association,Meridian Rd. between Shea Rd and East Rd,Queens,NY,11355,40.75389049,-73.83691823,Con Edison of NY,4 Irving Place,Melville,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,307 Cubic Yards,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,136 Marshall Street,Brooklyn,NY,11201,40.7047976,-73.9809403,Con Edison,4 Irving Place,New York,NY,10003,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,25 Cubic Yards,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,242 West 49th Street,New York,NY,10019,40.7611725,-73.9859663,"350 West 52nd Street, LLC",350 West 52nd Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,350 West 52nd Street,New York,NY,10019,40.7640999,-73.9870203,"350 West 52nd Street, LLC",242 West 49th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
